Time,Light
1633,83
1634,346
1635,82
1636,346
1637,82
1638,346
1639,83
1640,346
1641,83
1642,346
1643,83
1644,346
1645,83
1646,346
1647,82
1648,346
1649,83
1650,346
1651,82
1652,80
1653,83
1654,80
1655,83
1656,81
1657,83
1658,80
1659,83
1660,80
1661,83
1662,80
1663,84
1664,81
1665,83
1666,80
1667,83
1668,81
1669,83
1670,80
1671,83
1672,80
1673,346
1674,80
1675,83
1676,80
1677,346
1678,80
1679,346
1680,80
1681,346
1682,81
1683,346
1684,81
1685,346
1686,80
1687,346
1688,81
1689,346
1690,80
1691,346
1692,80
1693,346
1694,80
1695,346
1696,81
1697,346
1698,81
1699,346
1700,81
1701,79
1702,81
1703,78
1704,81
1705,346
1706,81
1707,78
1708,81
1709,79
1710,81
1711,79
1712,81
1713,79
1714,81
1715,79
1716,81
1717,79
1718,81
1719,79
1720,81
1721,79
1722,81
1723,79
1724,81
1725,79
1726,81
1727,79
1728,346
1729,79
1730,81
1731,79
1732,346
1733,79
1734,346
1735,78
1736,346
1737,79
1738,346
1739,78
1740,346
1741,79
1742,346
1743,79
1744,346
1745,79
1746,346
1747,78
1748,346
1749,79
1750,77
1751,79
1752,346
1753,79
1754,77
1755,79
1756,77
1757,79
1758,77
1759,79
1760,78
1761,79
1762,77
1763,79
1764,77
1765,79
1766,77
1767,79
1768,77
1769,79
1770,77
1771,79
1772,77
1773,80
1774,77
1775,79
1776,77
1777,80
1778,77
1779,346
1780,77
1781,346
1782,77
1783,346
1784,77
1785,346
1786,77
1787,346
1788,77
1789,346
1790,77
1791,346
1792,77
1793,346
1794,77
1795,346
1796,77
1797,346
1798,77
1799,76
1800,78
1801,76
1802,77
1803,346
1804,77
1805,76
1806,77
1807,75
1808,78
1809,76
1810,78
1811,76
1812,78
1813,76
1814,78
1815,76
1816,78
1817,77
1818,78
1819,77
1820,78
1821,76
1822,79
1823,76
1824,78
1825,76
1826,78
1827,77
1828,79
1829,76
1830,79
1831,77
1832,346
1833,76
1834,346
1835,77
1836,346
1837,77
1838,346
1839,77
1840,346
1841,76
1842,346
1843,77
1844,346
1845,77
1846,346
1847,77
1848,346
1849,77
1850,346
1851,77
1852,346
1853,77
1854,76
1855,77
1856,76
1857,77
1858,75
1859,77
1860,76
1861,78
1862,76
1863,78
1864,75
1865,78
1866,76
1867,77
1868,76
1869,78
1870,76
1871,78
1872,76
1873,78
1874,76
1875,78
1876,76
1877,78
1878,76
1879,79
1880,76
1881,78
1882,76
1883,346
1884,77
1885,347
1886,76
1887,346
1888,76
1889,346
1890,77
1891,346
1892,76
1893,346
1894,76
1895,347
1896,77
1897,346
1898,77
1899,346
1900,77
1901,346
1902,77
1903,346
1904,77
1905,75
1906,77
1907,76
1908,77
1909,75
1910,77
1911,76
1912,77
1913,75
1914,77
1915,76
1916,78
1917,75
1918,78
1919,76
1920,78
1921,76
1922,78
1923,76
1924,78
1925,76
1926,79
1927,77
1928,78
1929,76
1930,346
1931,76
1932,78
1933,76
1934,347
1935,76
1936,346
1937,76
1938,346
1939,76
1940,346
1941,76
1942,346
1943,76
1944,346
1945,77
1946,346
1947,77
1948,346
1949,77
1950,346
1951,77
1952,346
1953,77
1954,346
1955,77
1956,75
1957,77
1958,75
1959,77
1960,75
1961,78
1962,75
1963,77
1964,75
1965,78
1966,75
1967,77
1968,75
1969,78
1970,75
1971,78
1972,76
1973,78
1974,76
1975,79
1976,76
1977,79
1978,76
1979,79
1980,76
1981,346
1982,76
1983,346
1984,76
1985,79
1986,77
1987,346
1988,77
1989,346
1990,76
1991,346
1992,76
1993,346
1994,77
1995,346
1996,77
1997,346
1998,77
1999,346
2000,77
2001,346
2002,77
2003,346
2004,77
2005,346
2006,77
2007,346
2008,77
2009,75
2010,78
2011,346
2012,78
2013,75
2014,78
2015,75
2016,78
2017,75
2018,78
2019,75
2020,78
2021,76
2022,79
2023,76
2024,79
2025,75
2026,79
2027,75
2028,79
2029,76
2030,346
2031,75
2032,346
2033,76
2034,346
2035,75
2036,346
2037,76
2038,346
2039,76
2040,346
2041,76
2042,346
2043,76
2044,347
2045,76
2046,346
2047,76
2048,346
2049,76
2050,346
2051,77
2052,346
2053,77
2054,346
2055,76
2056,346
2057,77
2058,346
2059,77
2060,346
2061,77
2062,346
2063,77
2064,74
2065,77
2066,346
2067,77
2068,74
2069,77
2070,75
2071,77
2072,75
2073,78
2074,75
2075,346
2076,74
2077,346
2078,74
2079,77
2080,75
2081,346
2082,74
2083,346
2084,75
2085,346
2086,75
2087,346
2088,75
2089,346
2090,75
2091,347
2092,75
2093,346
2094,75
2095,346
2096,76
2097,346
2098,75
2099,346
2100,76
2101,346
2102,75
2103,346
2104,76
2105,346
2106,76
2107,346
2108,76
2109,346
2110,76
2111,346
2112,77
2113,346
2114,77
2115,346
2116,77
2117,74
2118,77
2119,346
2120,78
2121,74
2122,78
2123,74
2124,346
2125,74
2126,79
2127,74
2128,346
2129,75
2130,346
2131,75
2132,346
2133,75
2134,346
2135,75
2136,346
2137,75
2138,346
2139,76
2140,346
2141,76
2142,346
2143,76
2144,346
2145,77
2146,346
2147,77
2148,346
2149,77
2150,346
2151,77
2152,346
2153,77
2154,346
2155,77
2156,346
2157,77
2158,346
2159,78
2160,346
2161,79
2162,345
2163,79
2164,346
2165,79
2166,346
2167,80
2168,346
2169,79
2170,346
2171,80
2172,75
2173,80
2174,345
2175,346
2176,76
2177,81
2178,76
2179,346
2180,76
2181,346
2182,77
2183,346
2184,77
2185,346
2186,77
2187,346
2188,78
2189,346
2190,78
2191,346
2192,78
2193,346
2194,78
2195,346
2196,78
2197,346
2198,79
2199,346
2200,79
2201,346
2202,79
2203,346
2204,80
2205,346
2206,80
2207,346
2208,80
2209,346
2210,80
2211,346
2212,80
2213,346
2214,81
2215,346
2216,81
2217,346
2218,81
2219,346
2220,82
2221,346
2222,346
2223,346
2224,346
2225,346
2226,346
2227,346
2228,346
2229,77
2230,346
2231,79
2232,346
2233,78
2234,346
2235,79
2236,346
2237,79
2238,346
2239,79
2240,346
2241,79
2242,346
2243,80
2244,346
2245,80
2246,346
2247,80
2248,346
2249,80
2250,346
2251,81
2252,346
2253,81
2254,346
2255,81
2256,347
2257,82
2258,346
2259,81
2260,346
2261,82
2262,346
2263,82
2264,346
2265,83
2266,346
2267,84
2268,346
2269,346
2270,346
2271,346
2272,346
2273,346
2274,346
2275,346
2276,346
2277,346
2278,79
2279,346
2280,346
2281,346
2282,80
2283,346
2284,80
2285,346
2286,80
2287,346
2288,80
2289,346
2290,81
2291,346
2292,81
2293,346
2294,81
2295,346
2296,82
2297,346
2298,82
2299,346
2300,82
2301,346
2302,82
2303,346
2304,83
2305,346
2306,83
2307,346
2308,83
2309,346
2310,84
2311,346
2312,83
2313,346
2314,84
2315,346
2316,85
2317,346
2318,346
2319,347
2320,346
2321,346
2322,346
2323,346
2324,346
2325,346
2326,346
2327,346
2328,346
2329,346
2330,346
2331,81
2332,346
2333,81
2334,346
2335,81
2336,347
2337,81
2338,346
2339,82
2340,347
2341,83
2342,346
2343,83
2344,346
2345,83
2346,347
2347,83
2348,346
2349,84
2350,346
2351,83
2352,346
2353,83
2354,346
2355,85
2356,346
2357,84
2358,347
2359,84
2360,346
2361,85
2362,346
2363,85
2364,346
2365,85
2366,346
2367,86
2368,346
2369,86
2370,346
2371,86
2372,346
2373,87
2374,346
2375,346
2376,346
2377,346
2378,346
2379,346
2380,346
2381,346
2382,346
2383,346
2384,84
2385,346
2386,84
2387,346
2388,84
2389,346
2390,84
2391,346
2392,85
2393,346
2394,84
2395,346
2396,85
2397,346
2398,85
2399,346
2400,86
2401,346
2402,86
2403,346
2404,87
2405,346
2406,86
2407,346
2408,86
2409,346
2410,87
2411,346
2412,87
2413,346
2414,87
2415,346
2416,88
2417,346
2418,88
2419,346
2420,89
2421,346
2422,346
2423,346
2424,346
2425,346
2426,346
2427,346
2428,346
2429,346
2430,346
2431,346
2432,346
2433,346
2434,346
2435,85
2436,346
2437,86
2438,346
2439,86
2440,346
2441,86
2442,346
2443,86
2444,346
2445,85
2446,346
2447,86
2448,346
2449,86
2450,346
2451,86
2452,346
2453,86
2454,346
2455,87
2456,346
2457,87
2458,346
2459,88
2460,346
2461,88
2462,346
2463,88
2464,346
2465,89
2466,346
2467,89
2468,346
2469,90
2470,346
2471,89
2472,346
2473,89
2474,346
2475,89
2476,346
2477,90
2478,346
2479,346
2480,85
2481,346
2482,85
2483,346
2484,86
2485,346
2486,86
2487,346
2488,85
2489,346
2490,86
2491,346
2492,85
2493,346
2494,86
2495,346
2496,87
2497,346
2498,86
2499,346
2500,86
2501,346
2502,86
2503,346
2504,87
2505,346
2506,87
2507,346
2508,87
2509,346
2510,88
2511,346
2512,88
2513,346
2514,88
2515,346
2516,87
2517,346
2518,88
2519,346
2520,87
2521,346
2522,88
2523,346
2524,88
2525,346
2526,89
2527,346
2528,89
2529,346
2530,346
2531,346
2532,346
2533,346
2534,346
2535,85
2536,346
2537,85
2538,346
2539,85
2540,346
2541,85
2542,346
2543,85
2544,346
2545,85
2546,346
2547,85
2548,347
2549,85
2550,346
2551,85
2552,346
2553,86
2554,346
2555,85
2556,346
2557,85
2558,346
2559,85
2560,346
2561,85
2562,346
2563,86
2564,346
2565,86
2566,346
2567,85
2568,346
2569,86
2570,346
2571,86
2572,346
2573,86
2574,346
2575,86
2576,346
2577,87
2578,346
2579,87
2580,82
2581,86
2582,83
2583,346
2584,82
2585,346
2586,83
2587,86
2588,83
2589,346
2590,82
2591,346
2592,82
2593,346
2594,82
2595,346
2596,83
2597,346
2598,82
2599,346
2600,82
2601,346
2602,83
2603,346
2604,82
2605,346
2606,83
2607,346
2608,83
2609,346
2610,82
2611,346
2612,83
2613,346
2614,83
2615,346
2616,83
2617,346
2618,83
2619,346
2620,83
2621,346
2622,84
2623,346
2624,84
2625,346
2626,83
2627,80
2628,83
2629,80
2630,83
2631,80
2632,84
2633,80
2634,83
2635,80
2636,84
2637,79
2638,83
2639,80
2640,346
2641,80
2642,346
2643,80
2644,346
2645,79
2646,346
2647,80
2648,346
2649,80
2650,346
2651,79
2652,346
2653,79
2654,347
2655,79
2656,346
2657,79
2658,346
2659,79
2660,346
2661,80
2662,346
2663,80
2664,346
2665,79
2666,346
2667,80
2668,346
2669,80
2670,346
2671,79
2672,346
2673,79
2674,77
2675,80
2676,77
2677,80
2678,76
2679,80
2680,77
2681,79
2682,76
2683,80
2684,77
2685,79
2686,77
2687,80
2688,77
2689,80
2690,77
2691,80
2692,76
2693,346
2694,76
2695,346
2696,76
2697,346
2698,77
2699,346
2700,76
2701,346
2702,76
2703,346
2704,76
2705,346
2706,76
2707,346
2708,77
2709,346
2710,76
2711,346
2712,77
2713,346
2714,76
2715,346
2716,76
2717,346
2718,75
2719,346
2720,77
2721,346
2722,76
2723,346
2724,76
2725,74
2726,76
2727,74
2728,76
2729,74
2730,76
2731,74
2732,77
2733,74
2734,76
2735,74
2736,76
2737,73
2738,76
2739,74
2740,76
2741,73
2742,77
2743,73
2744,76
2745,73
2746,346
2747,74
2748,77
2749,74
2750,346
2751,73
2752,346
2753,73
2754,346
2755,74
2756,346
2757,73
2758,345
2759,74
2760,346
2761,73
2762,346
2763,74
2764,346
2765,73
2766,346
2767,74
2768,346
2769,73
2770,71
2771,73
2772,346
2773,74
2774,72
2775,73
2776,72
