Time,Light,Avg
15535,863,832
15551,823,833
15567,829,832
15582,860,831
15598,793,832
15613,847,831
15629,856,832
15645,766,832
15660,866,832
15676,851,832
15691,776,832
15707,866,832
15723,843,832
15738,790,832
15754,864,831
15769,832,832
15785,806,832
15801,861,830
15816,814,830
15832,821,830
15847,858,827
15863,775,828
15879,840,828
15894,853,828
15910,757,828
15925,860,828
15941,848,828
15957,771,828
15972,866,827
15988,840,828
16003,787,827
16019,863,826
16035,829,827
16050,803,827
16066,861,825
16081,811,826
16097,821,826
16113,858,824
16128,775,825
16144,841,825
16159,854,826
16175,759,826
16191,863,826
16206,849,827
16222,776,827
16237,866,826
16253,844,827
16269,791,827
16284,865,827
16300,835,828
16315,809,828
16331,863,827
16347,820,829
16362,828,829
16378,860,828
16393,793,829
16409,847,829
16425,857,830
16440,767,831
16456,864,830
16471,853,831
16487,779,831
16503,867,831
16518,846,832
16534,795,832
16549,865,832
16565,838,833
16581,811,833
16596,863,832
16612,823,833
16627,828,832
16643,860,831
16659,793,832
16674,846,831
16690,856,832
16705,765,832
16721,866,831
16737,851,832
16752,776,832
16768,866,831
16783,843,832
16799,790,832
16815,864,831
16830,832,831
16846,805,831
16861,861,829
16877,814,829
16893,821,829
16908,857,827
16924,775,828
16939,839,827
16955,853,827
16971,757,828
16986,859,827
17002,848,827
17017,772,827
17033,865,827
17049,840,827
17064,787,827
17080,863,826
17095,829,827
17111,803,826
17127,860,825
17142,812,826
17158,821,825
17173,857,824
17189,778,825
17205,841,825
17220,854,825
17236,759,826
17251,863,825
17267,850,826
17283,774,826
17298,866,826
17314,843,827
17329,792,827
17345,864,827
17361,835,828
17376,809,828
17392,862,827
17407,821,828
17423,827,828
17439,860,827
17454,795,829
17470,847,829
17485,857,830
17501,767,830
17517,864,830
17532,853,831
17548,780,831
17563,868,831
17579,846,832
17595,795,832
17610,865,831
17626,837,832
17641,811,832
17657,863,831
17673,822,832
17688,828,832
17704,860,830
17719,790,831
17735,845,831
17751,856,831
17766,764,832
17782,866,831
17797,851,832
17813,776,831
17829,866,831
17844,843,831
17860,790,831
17875,863,830
17891,831,831
17907,804,831
17922,861,829
17938,812,829
17953,820,829
17969,858,826
17985,772,827
18000,838,827
18016,853,827
18031,757,827
18047,860,827
18063,848,827
18078,771,827
18094,865,826
18109,840,827
18125,787,827
18141,863,826
18156,829,826
18172,803,826
18187,860,825
18203,812,826
18219,821,825
18234,857,824
18250,778,825
18265,840,825
18281,855,826
18297,762,826
18312,864,826
18328,850,827
18343,775,827
18359,866,827
18375,843,828
18390,792,828
18406,864,827
18421,836,829
18437,809,829
18453,863,828
18468,822,829
18484,827,829
18499,860,828
18515,795,829
18531,847,829
18546,857,830
18562,767,831
18577,864,830
18593,852,831
18609,779,831
18624,867,831
